order,data_win,data_bova,data_diferente,ticks,cruzados,spread_max,amplitude,salto_max,suspeito
248,2022.06.30,2022.06.30,False,29372,0,40.0,1565.0,100.0,False
249,2022.07.01,2022.07.01,False,28949,0,30.0,2055.0,90.0,False
250,2022.07.04,2022.07.04,False,18437,0,30.0,1070.0,75.0,False
251,2022.07.05,2022.07.05,False,28787,0,25.0,1970.0,95.0,False
252,2022.07.06,2022.07.06,False,31216,0,35.0,1770.0,135.0,False
253,2022.07.07,2022.07.07,False,15446,0,20.0,1250.0,105.0,False
254,2022.07.08,2022.07.08,False,24743,0,20.0,1660.0,85.0,False
255,2022.07.11,2022.07.11,False,22072,0,25.0,1425.0,50.0,False
256,2022.07.12,2022.07.12,False,20724,0,35.0,1540.0,80.0,False
257,2022.07.13,2022.07.13,False,28055,0,30.0,1565.0,80.0,False
258,2022.07.14,2022.07.14,False,24046,0,25.0,1015.0,80.0,False
259,2022.07.15,2022.07.15,False,19736,0,25.0,1810.0,95.0,False
260,2022.07.18,2022.07.18,False,20591,0,25.0,1715.0,65.0,False
261,2022.07.19,2022.07.19,False,20400,0,35.0,1325.0,80.0,False
262,2022.07.20,2022.07.20,False,22675,0,20.0,1155.0,75.0,False
263,2022.07.21,2022.07.21,False,23450,0,20.0,1855.0,70.0,False
264,2022.07.22,2022.07.22,False,24878,0,25.0,1430.0,70.0,False
265,2022.07.25,2022.07.25,False,20223,0,30.0,950.0,65.0,False
266,2022.07.26,2022.07.26,False,17968,0,15.0,1420.0,105.0,False
267,2022.07.27,2022.07.27,False,20176,0,35.0,1520.0,160.0,False
268,2022.07.28,2022.07.28,False,20252,0,20.0,1735.0,70.0,False
269,2022.07.29,2022.07.29,False,20145,0,25.0,1465.0,55.0,False
270,2022.08.01,2022.08.01,False,25492,0,35.0,1630.0,85.0,False
271,2022.08.02,2022.08.02,False,27240,0,25.0,1970.0,130.0,False
272,2022.08.03,2022.08.03,False,21330,0,35.0,1105.0,100.0,False
273,2022.08.04,2022.08.04,False,17873,0,35.0,1490.0,85.0,False
274,2022.08.05,2022.08.05,False,25620,0,35.0,1725.0,115.0,False
275,2022.08.08,2022.08.08,False,20353,0,30.0,1220.0,95.0,False
276,2022.08.09,2022.08.09,False,23141,0,25.0,1325.0,90.0,False
277,2022.08.10,2022.08.10,False,21154,0,25.0,910.0,55.0,False
278,2022.08.11,2022.08.11,False,24990,0,30.0,1785.0,125.0,False
279,2022.08.12,2022.08.12,False,20348,0,40.0,1795.0,80.0,False
280,2022.08.17,2022.08.17,False,25284,0,25.0,1580.0,110.0,False
281,2022.08.18,2022.08.18,False,21501,0,20.0,995.0,55.0,False
282,2022.08.19,2022.08.19,False,19509,0,30.0,1730.0,100.0,False
283,2022.08.22,2022.08.22,False,22239,0,30.0,1075.0,65.0,False
284,2022.08.23,2022.08.23,False,20105,0,40.0,1790.0,65.0,False
285,2022.08.24,2022.08.24,False,20444,0,35.0,1270.0,135.0,False
286,2022.08.25,2022.08.25,False,21774,0,40.0,1085.0,125.0,False
287,2022.08.26,2022.08.26,False,26738,0,40.0,1925.0,115.0,False
288,2022.08.29,2022.08.29,False,20207,0,30.0,1390.0,60.0,False
289,2022.08.30,2022.08.30,False,25531,0,25.0,2600.0,45.0,False
290,2022.08.31,2022.08.31,False,28780,0,25.0,1905.0,125.0,False
291,2022.09.01,2022.09.01,False,27689,0,40.0,2200.0,70.0,False
292,2022.09.02,2022.09.02,False,27162,0,20.0,1705.0,100.0,False
293,2022.09.05,2022.09.05,False,17270,0,30.0,975.0,50.0,False
294,2022.09.06,2022.09.06,False,29113,0,30.0,1660.0,125.0,False
295,2022.09.08,2022.09.08,False,33092,0,20.0,2270.0,85.0,False
296,2022.09.09,2022.09.09,False,21257,0,40.0,1375.0,125.0,False
297,2022.09.12,2022.09.12,False,23359,0,30.0,950.0,95.0,False
298,2022.09.13,2022.09.13,False,27567,0,45.0,2090.0,120.0,False
299,2022.09.14,2022.09.14,False,29809,0,40.0,1325.0,90.0,False
300,2022.09.15,2022.09.15,False,27785,0,20.0,1710.0,70.0,False
301,2022.09.16,2022.09.16,False,30056,0,30.0,1030.0,150.0,False
302,2022.09.19,2022.09.19,False,25460,0,35.0,3485.0,80.0,False
303,2022.09.20,2022.09.20,False,30372,0,30.0,1240.0,75.0,False
304,2022.09.21,2022.09.21,False,31563,11,60.0,7965.0,7460.0,True
305,2022.09.22,2022.09.22,False,31566,0,80.0,2430.0,95.0,False
306,2022.09.23,2022.09.23,False,30312,0,25.0,1795.0,140.0,False
307,2022.09.26,2022.09.26,False,32520,0,30.0,2105.0,60.0,False
308,2022.09.27,2022.09.27,False,35013,0,25.0,2125.0,135.0,False
309,2022.09.28,2022.09.28,False,31977,0,30.0,1010.0,155.0,False
310,2022.09.29,2022.09.29,False,32761,0,50.0,1625.0,130.0,False
311,2022.09.30,2022.09.30,False,32695,0,30.0,3275.0,190.0,False
312,2022.10.03,2022.10.03,False,29796,0,40.0,2980.0,165.0,False
313,2022.10.04,2022.10.04,False,33927,0,35.0,2185.0,165.0,False
314,2022.10.05,2022.10.05,False,34519,0,45.0,1710.0,105.0,False
315,2022.10.06,2022.10.06,False,30839,0,25.0,1300.0,95.0,False
316,2022.10.07,2022.10.07,False,32736,0,25.0,2090.0,85.0,False
317,2022.10.10,2022.10.10,False,28890,0,20.0,1635.0,130.0,False
318,2022.10.11,2022.10.11,False,33035,0,30.0,1655.0,80.0,False
319,2022.10.17,2022.10.17,False,22539,0,35.0,1950.0,85.0,False
320,2022.10.18,2022.10.18,False,26297,0,45.0,1515.0,80.0,False
321,2022.10.19,2022.10.19,False,26198,0,40.0,1230.0,90.0,False
322,2022.10.20,2022.10.20,False,25379,0,25.0,970.0,95.0,False
323,2022.10.21,2022.10.21,False,26217,0,25.0,4195.0,110.0,True
324,2022.10.24,2022.10.24,False,27226,0,40.0,2770.0,115.0,False
325,2022.10.25,2022.10.25,False,25340,0,30.0,1580.0,145.0,False
326,2022.10.26,2022.10.26,False,28187,0,40.0,1890.0,145.0,False
327,2022.10.27,2022.10.27,False,28995,0,30.0,1820.0,85.0,False
328,2022.10.28,2022.10.28,False,27004,0,50.0,1550.0,75.0,False
329,2022.10.31,2022.10.31,False,35868,0,110.0,3990.0,165.0,True
330,2022.11.01,2022.11.01,False,33975,0,75.0,2570.0,245.0,False
331,2022.11.03,2022.11.03,False,30815,0,50.0,3140.0,175.0,False
332,2022.11.04,2022.11.04,False,34073,0,65.0,2070.0,145.0,False
333,2022.11.07,2022.11.07,False,30637,0,35.0,2815.0,140.0,False
334,2022.11.08,2022.11.08,False,30962,0,115.0,2090.0,225.0,True
335,2022.11.09,2022.11.09,False,31276,0,35.0,2320.0,150.0,False
336,2022.11.10,2022.11.10,False,37689,11,70.0,16690.0,13255.0,True
337,2022.11.11,2022.11.11,False,36078,0,90.0,3690.0,170.0,False
338,2022.11.14,2022.10.14,True,31298,0,40.0,1510.0,110.0,True
339,2022.12.15,2022.12.15,False,31993,0,65.0,2635.0,175.0,False
340,2022.12.16,2022.12.16,False,26981,0,30.0,1680.0,85.0,False
341,2022.12.19,2022.12.19,False,26965,0,45.0,2175.0,115.0,False
342,2022.12.21,2022.12.21,False,29515,0,55.0,1840.0,80.0,False
343,2022.12.22,2022.12.22,False,27862,0,45.0,2015.0,80.0,False
344,2022.12.23,2022.12.23,False,25916,0,50.0,2120.0,125.0,False
345,2022.12.26,2022.12.26,False,26792,0,35.0,1035.0,160.0,False
346,2022.12.27,2022.12.27,False,23632,0,45.0,1835.0,90.0,False
347,2022.12.28,2022.12.28,False,26754,0,30.0,1695.0,70.0,False
348,2022.12.29,2022.12.29,False,26000,0,40.0,1770.0,55.0,False
349,2023.01.02,2023.01.02,False,21112,0,50.0,1920.0,150.0,False
350,2023.01.03,2023.01.03,False,28124,0,50.0,1615.0,140.0,False
351,2023.01.04,2023.01.04,False,31016,0,55.0,1895.0,155.0,False
352,2023.01.05,2023.01.05,False,26026,0,35.0,2460.0,100.0,False
353,2023.01.06,2023.01.06,False,25414,0,50.0,1685.0,185.0,False
354,2023.01.09,2023.01.09,False,26585,0,35.0,1730.0,100.0,False
355,2023.01.10,2023.01.10,False,23182,0,35.0,2680.0,70.0,False
356,2023.01.11,2023.01.11,False,22999,0,35.0,1065.0,95.0,False
357,2023.01.12,2023.01.12,False,31469,0,70.0,2360.0,125.0,False
358,2023.01.13,2023.01.13,False,22176,0,30.0,930.0,105.0,False
359,2023.01.16,2023.01.16,False,21330,0,35.0,1525.0,70.0,False
360,2023.01.17,2023.01.17,False,21081,0,20.0,1310.0,55.0,False
361,2023.01.18,2023.01.18,False,28065,0,25.0,1225.0,105.0,False
362,2023.01.19,2023.01.19,False,23665,0,25.0,1440.0,95.0,False
363,2023.01.20,2023.01.20,False,21063,0,15.0,820.0,90.0,False
