tag,fold,side,split,thr,n,win_rate,mean_pl,sum_pl
lstm_v2_base,2,sell,val,0.66,968,0.7923553719008265,41.927555084228516,40585.875
lstm_v2_base,2,sell,val,0.67,842,0.8016627078384798,42.17813491821289,35513.98828125
lstm_v2_base,2,sell,val,0.68,741,0.8070175438596491,41.64427185058594,30858.404296875
lstm_v2_base,2,sell,val,0.69,644,0.8105590062111802,43.32841491699219,27903.5
lstm_v2_base,2,sell,val,0.7,551,0.8166969147005445,45.63072204589844,25142.52734375
lstm_v2_base,2,sell,val,0.71,456,0.8442982456140351,54.164249420166016,24698.8984375
lstm_v2_base,2,sell,val,0.72,369,0.8590785907859079,57.09592056274414,21068.39453125
lstm_v2_base,2,sell,val,0.73,285,0.8526315789473684,51.622291564941406,14712.353515625
lstm_v2_base,2,sell,val,0.74,218,0.8899082568807339,65.25473022460938,14225.53125
lstm_v2_base,2,sell,val,0.75,178,0.898876404494382,68.0335464477539,12109.970703125
lstm_v2_base,2,sell,val,0.76,124,0.9435483870967742,82.83053588867188,10270.986328125
lstm_v2_base,2,sell,val,0.77,83,0.9397590361445783,85.1288833618164,7065.697265625
lstm_v2_base,2,sell,val,0.78,55,0.9454545454545454,86.27630615234375,4745.19677734375
lstm_v2_base,2,sell,val,0.79,38,0.9473684210526315,85.0031509399414,3230.119873046875
lstm_v2_base,2,sell,val,0.8,16,1.0,109.14155578613281,1746.264892578125
lstm_v2_base,2,sell,val,0.81,7,1.0,120.68297576904297,844.7808227539062
lstm_v2_base,2,sell,val,0.82,2,1.0,136.1977996826172,272.3955993652344
lstm_v2_base,2,sell,val,0.83,0,,,0.0
lstm_v2_base,2,sell,val,0.84,0,,,0.0
lstm_v2_base,2,sell,val,0.85,0,,,0.0
lstm_v2_base,2,sell,val,0.0,11913,0.5516662469571056,10.749048233032227,128053.40625
lstm_v2_base,2,sell,test,0.5,9963,0.6067449563384523,-2.2188031673431396,-22105.935546875
lstm_v2_base,2,sell,test,0.51,9351,0.6133033900117635,-1.5113729238510132,-14132.8486328125
lstm_v2_base,2,sell,test,0.52,8718,0.6171140169763707,-1.2102580070495605,-10551.029296875
lstm_v2_base,2,sell,test,0.53,8108,0.6207449432659102,-1.582244873046875,-12828.841796875
lstm_v2_base,2,sell,test,0.54,7564,0.6242728714965626,-2.232586145401001,-16887.28125
lstm_v2_base,2,sell,test,0.55,6987,0.6294547015886647,-2.288749933242798,-15991.49609375
lstm_v2_base,2,sell,test,0.56,6425,0.63284046692607,-2.684123992919922,-17245.49609375
lstm_v2_base,2,sell,test,0.57,5934,0.6413886080215706,-1.0217405557632446,-6063.00830078125
lstm_v2_base,2,sell,test,0.58,5490,0.6491803278688525,-0.07909613847732544,-434.23779296875
lstm_v2_base,2,sell,test,0.59,4981,0.655691628187111,-0.22312571108341217,-1111.38916015625
lstm_v2_base,2,sell,test,0.6,4512,0.6633421985815603,1.0554757118225098,4762.306640625
lstm_v2_base,2,sell,test,0.61,4104,0.672270955165692,2.940727710723877,12068.74609375
lstm_v2_base,2,sell,test,0.62,3671,0.6793789158267503,2.8632142543792725,10510.859375
lstm_v2_base,2,sell,test,0.63,3283,0.6823027718550106,2.63820481300354,8661.2265625
lstm_v2_base,2,sell,test,0.64,2949,0.6876907426246185,3.1662864685058594,9337.37890625
lstm_v2_base,2,sell,test,0.65,2642,0.6926570779712339,2.8137950897216797,7434.04638671875
lstm_v2_base,2,sell,test,0.66,2318,0.7018981880931838,5.038888454437256,11680.1435546875
lstm_v2_base,2,sell,test,0.67,2015,0.7086848635235732,4.941946983337402,9958.0234375
lstm_v2_base,2,sell,test,0.68,1739,0.7113283496262219,3.987980604171753,6935.09814453125
lstm_v2_base,2,sell,test,0.69,1497,0.7227788911155645,8.526873588562012,12764.73046875
lstm_v2_base,2,sell,test,0.7,1254,0.7280701754385965,9.406608581542969,11795.88671875
lstm_v2_base,2,sell,test,0.71,1011,0.7309594460929772,7.319052696228027,7399.5625
lstm_v2_base,2,sell,test,0.72,823,0.7387606318347509,7.9338483810424805,6529.55712890625
lstm_v2_base,2,sell,test,0.73,647,0.7372488408037094,5.500977516174316,3559.13232421875
lstm_v2_base,2,sell,test,0.74,485,0.7402061855670103,5.472001075744629,2653.92041015625
lstm_v2_base,2,sell,test,0.75,370,0.7486486486486487,8.910091400146484,3296.73388671875
lstm_v2_base,2,sell,test,0.76,254,0.7440944881889764,0.21406975388526917,54.37371826171875
